donor_name,donor_code,donor_sector,donor_country,acronym,funder_ref
Protecting Families Against HIV/AIDS,ug-ngb-63360,National NGO,,,
Republic of Korea,kr-gov-021,Government,KR,,
Rode Kruis-Vlaanderen Internationaal,be-bce_kbo-461634084,National NGO,,,
Royal Tropical Institute,nl-kvk-33185213,International NGO,,,
Rutgers,nl-kvk-41193594,International NGO,,,
Save the Children Netherlands,nl-kvk-41201463,International NGO,,,
Self Help Africa,ie-chy-6663,International NGO,,,
Sense International,gb-chc-1076497,International NGO,,,
Sightsavers,gb-chc-207544,International NGO,,,
Simavi,nl-kvk-40594571,Foundation,,,
Simprints,gb-coh-8835431,International NGO,,,
Slovak Republic,xm-dac-69-02,Government,SK,,
Slovak Republic,xm-dac-69-18,Government,SK,,
Slovakia,sk,Government,,,
Southeast Asia,southeastasia,Region,,,
Spain,es,Government,ES,,
Stichting fondsbeheer DGGF lokaal MKB,nl-kvk-61172863,Foundation,,,
Stichting fondsbeheer DGGF lokaal MKB,dggf,International NGO,,,NL-KVK-61172863
Stichting Health Action International,nl-kvk-41207580,Foundation,,,
Stichting Woord en Daad,nl-kvk-41118168,International NGO,,,
Sweden,se,Government,SE,,
TB Alert,gb-chc-1071886,International NGO,,,
Tearfund VZW (TFBE),be-bce_kbo-0419872616,National NGO,,,
Terre des Hommes Netherlands,nl-kvk-41149287,International NGO,,,
The Access to Nutrition Foundation,nl-kvk-58279199,International NGO,,,
The International Rescue Committee,us-ein-13-5660870,International NGO,,,
The Leprosy Mission England and Wales,gb-chc-1050327,International NGO,,,
The Power of Nutrition,gb-chc-1160373,Foundation,,,
UK - Ministry of Defence,gb-gov-8,Government,GB,,
ULB-Coopération,be-bce_kbo-0415627875,National NGO,,,
UN Food and Agriculture Organization (FAO),fao,Multilateral,,,
United Kingdom,gb,Government,GB,,
United Nations Development Programme (UNDP),undp,Multilateral,,,
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),xm-dac-41110,Multilateral,,,
United Nations Office for Project Services (UNOPS),41aaa,Multilateral,,,
United Nations Population Fund,unfpa,Multilateral,,,
United Nations World Food Programme (WFP),xm-dac-41140,Multilateral,,,
United Purpose,gb-chc-272465,International NGO,,,
United States,us,Government,US,,
United States Agency for International Development (USAID),us-gov-1,Government,US,,
War Child Holland,nl-kvk-41215393,International NGO,,,
Welbodi Partnership,gb-chc-1125217,"Academic, Training and Research",,,
Women and Children First (UK),gb-chc-1085096,International NGO,,,
Women's Global Network on Reproductive Rights,ph-sec-fn200806591,International NGO,,,
World Bank,wb,Multilateral,,,
World Child Cancer UK,gb-chc-1084729,International NGO,,,
World Health Organization,who,Multilateral,,,
World Organisation for Animal Health,oie,International NGO,,,
World Vision International,us-ein-95-3202116,International NGO,,,
Y Care International,gb-chc-1109789,International NGO,,,
Africa Centres for Disease Control and Prevention,africa-cdc,Multilateral,,,
Asia Pacific Region,apr,Region,,,
Caribbean,caribbean,Region,,,
ECOWAS,ecowas,Region,,,
West Africa,west-africa,Region,,,
East Africa,east-africa,Region,,,
G-7,g-7,Region,,,
GSSHealth,gsshealth,International NGO,,,
Swedish University of Agricultural Sciences,suas,"Academic, Training and Research",,,
WHO Health Emergencies Program,who-hep,Multilateral,,,
South Sudan,SS,Government,,,
International Atomic Energy Agency,aea,Multilateral,,,
International Criminal Police Organization,icpo,Multilateral,,,
Drugs for Neglected Diseases Initiative,dndi,International NGO,,,
Middle East Scientific Institute for Security,mesis,"Academic, Training and Research",,,
Coalition for Epidemic Preparedness Innovations (CEPI),cepi,International NGO,,,
Global Alliance for Vaccines and Immunisation (GAVI),gavi,International NGO,,,
International Centre of Insect Physiology and Ecology,icipe,"Academic, Training and Research",,,
International Vaccine Institute (IVI),ivi,"Academic, Training and Research",,,
International Centre for Diarrhoeal Disease Research,icddr,"Academic, Training and Research",,,
International Federation of Biosafety Associations (IFBA),ifba,International NGO,,,
Spanish Agency of International Cooperation and Development (AECID),aecid,Government,ES,,
International Atomic Energy Agency (IAEA),iaea,Multilateral,,,
Italy,IT,Government,IT,,
Democratic Republic of the Congo,CD,Government,CD,,
Provinces of Gaza,gaza,Region,,,
Maputo,maputo,Region,,,
Sofala,sofala,Region,,,
Kosovo,XK,Government,XK,,
Africa,africa,Region,,,
Latin America,latin-america,Region,,,
Europe,europe,Region,,,
Middle East,middle-east,Region,,,
North Africa,north-africa,Region,,,
Asia,asia,Region,,,
ReAct,react,International NGO,,,
Asia-Pacific,asia-pacific,Region,,,
